rank,gate_id,kill_gate_name,why_it_can_kill_QTA,measurement_that_kills_or_saves_it,dependency_count,difficulty_class,status,can_PASS_now
1,D13,helium tau_c at 10 mK on actual diamond surface,Canonical 292 us threshold cannot be evaluated without measurement; this is the primary bottleneck of the entire architecture,In-system tau_c measurement on real diamond at 10 mK with controlled 3He coverage; paired 3He vs 4He comparison,3,HIGH,BLOCKED,NO
2,D12_G23,NV ODMR contrast (C_contr) at 10 mK,Co-equal bottleneck with tau_c; if contrast collapses at base temperature the sensing scheme fails independent of tau_c,ODMR contrast measurement at 10 mK on the actual diamond with proposed laser and readout geometry,2,HIGH,BLOCKED,NO
3,D14,NV T2* / dephasing at 10 mK,If T2* is well below the assumed value the SNR equation fails regardless of tau_c or C_contr,Ramsey T2* on the actual sample at 10 mK,2,HIGH,BLOCKED,NO
4,A9,Mode B LCVD deposition yield per pulse,Without measured yield the Mode B viability is undefined; affects whether Mode B is even useful before any Mode D question,Witness coupon plus QCM plus AFM/Raman/XPS after Mode B pulse train,4,HIGH,BLOCKED,NO
5,D10a-D10b,residual H2 coverage after bakeout / NEG / cryotrap,Excess H2 on the surface contributes to NV decoherence and corrupts tau_c interpretation,Post-conditioning H2 partial pressure (calibrated RGA) and equivalent surface coverage,3,MEDIUM,BLOCKED,NO
6,D3,actual G_eff (silver-sinter Kapitza conductance at 10 mK),If G_eff is much lower than assumed the sample stage cannot follow Mode D load profile and Mode D becomes unworkable,Step-response measurement after Ag sinter installation,4,MEDIUM,BLOCKED,NO
7,D7,fs-laser thermal recovery to Mode D baseline,If recovery time is much longer than 42 ns assumed the cumulative pulse heating exceeds budget and Mode D fails at the operating repetition rate,Pump-probe or fast thermometric measurement of surface and bulk recovery after a Mode D readout pulse,2,MEDIUM,BLOCKED,NO
8,C_to_D_Readiness,Mode B -> Mode C -> Mode D isolation and recovery,If Mode C cannot return the sample to a Mode D-clean state the entire mode-separated architecture is moot,Coordinated thermal/vacuum/contamination/radiation/RF/optical/vibration/NV-baseline measurement at the C-to-D transition,9,HIGH,BLOCKED,NO
9,Shield-RAD,measured radiation load into the 10 mK stage,If shutter + baffles + apertures cannot get measured radiation load below Mode D budget then Mode D never starts,Radiometric sample-stage heat load measurement with shutter stack in operating configuration,5,MEDIUM,BLOCKED,NO
10,Shield-RF,microwave/RF blackbody leakage into 10 mK,If RF + blackbody leakage through wiring + filters is above the Mode D dephasing budget the NV signal is corrupted at base temperature,Sample-stage heat load and NV ODMR/Ramsey baseline measurement with full wiring/filter chain installed,5,MEDIUM,BLOCKED,NO
11,Shield-OPT,optical scatter and line-of-sight leakage,Direct line-of-sight or stray scatter from warm stages to 10 mK adds heat and adds NV background; with no measurement the budget is unverified,Line-of-sight audit and per-stage optical-power measurement; sample-stage heating with apertures open/closed,3,MEDIUM,BLOCKED,NO
12,Shield-CHEM,chemical memory from Mode B contaminating Mode D,If cryopanels saturate or release on warmup the Mode D surface sees Mode B chemistry and tau_c interpretation collapses,Per-species RGA + QCM + witness coupon analysis through full Mode B -> C -> D cycle,4,HIGH,BLOCKED,NO
13,Shield-MAG,magnetic shielding without disturbing NV bias field,If the magnetic shielding disturbs the calibrated NV bias-field geometry then NV ODMR/Ramsey measurements are corrupted; superconducting shields add trapped-flux risk,Magnetometer field-map before and after shielding; NV ODMR baseline before and after; trapped-flux assessment for superconducting option,3,MEDIUM,CONDITIONAL,NO
