sensitivity_rank,parameter,description,sensitivity_class,contribution_to_forecast_failure,affected_gates,source_status,priority_action
R01,tau_c,helium decoherence time on diamond at 10 mK,PRIMARY,66.2% of failure samples (per existing reason text in D13),D13,REQUIRES_EXPERIMENT (item C in FIRST_VALIDATION_EXPERIMENTS.md),KILLS or SAVES the architecture (rank 1 in kill_gate_ranking.csv)
R02,C_contr,NV ODMR contrast at 10 mK,PRIMARY,co-equal bottleneck with tau_c; unknown at base temperature,"D12_G23, D13, D14",REQUIRES_EXPERIMENT (item A in FIRST_VALIDATION_EXPERIMENTS.md),KILLS or SAVES (rank 2)
R03,T2*,NV dephasing time at 10 mK,PRIMARY,enters SNR equation directly,D14,REQUIRES_EXPERIMENT,rank 3
R04,G_eff,silver-sinter Kapitza conductance,HIGH,controls sample-stage temperature stability under Mode D readout load,"D3, D7",REQUIRES_EXPERIMENT (item E),rank 6
R05,tau_recovery_D,fs-laser pulse thermal recovery,HIGH,controls maximum Mode D repetition rate; assumed 42 ns is unverified,D7,REQUIRES_EXPERIMENT (item E),rank 7
R06,theta_H2,residual H2 surface coverage post-bakeout,MEDIUM,assumed below 0.1% — bakeout effectiveness unverified,"D10a, D10b, B3, E04",REQUIRES_EXPERIMENT (item D),rank 5
R07,P_rad_10mK,measured radiation load into 10 mK,HIGH,controls Mode D heat budget; unknown without shutter-stack measurement,"Shield-RAD, C4",REQUIRES_EXPERIMENT,rank 9 (NEW — added by shielding hardening pass)
R08,P_RF_10mK,RF / microwave / blackbody leakage into 10 mK,HIGH,controls Mode D heat AND dephasing budget,"Shield-RF, Shield-MW",REQUIRES_EXPERIMENT,rank 10
R09,optical_LOS_to_10mK,direct optical line-of-sight from 300 K or Mode B to 10 mK,HIGH,"if not blocked, all Mode D budgets are violated",Shield-OPT,REQUIRES_EXPERIMENT,rank 11
R10,Mode_B_to_D_chemical_memory,cryopanel saturation and Mode B residue migration to Mode D,HIGH,controls whether mode separation is even possible,"Shield-CHEM, C_to_D_Readiness",REQUIRES_EXPERIMENT,rank 12
R11,NV_bias_field_error,magnetic shielding effect on calibrated NV bias,MEDIUM,controls whether magnetic shielding is compatible with sensing,Shield-MAG,REQUIRES_EXPERIMENT,rank 13
R12,Mode_A_deposition_yield,LCVD deposition per Mode B pulse,MEDIUM,"if Mode B is not useful, the entire mode-separated architecture loses purpose",A9,REQUIRES_EXPERIMENT,rank 4
R13,3He_4He_distinguishability,can decoherence signal distinguish 3He from 4He,PRIMARY,"sensing premise — if not distinguishable, sensing fails independent of tau_c",D11,REQUIRES_EXPERIMENT (item B),rank between 1 and 2
